,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
PRJEB20161/ERR1901831,0.017512792478800596,0.024871520824946033,0.033569125407430386,0.03796835067690616,0.04559969463212201,0.05021054894046543,0.0545857345001547,0.06100691350451306,0.06244258728903989,0.060821599874498075,0.060081322953704386,0.059554393195869394,0.06012313542029352,0.06240568205999249,0.06044547412941616,0.06017519026415056,0.06538603031555815,0.07673992711533384,0.04564217309480117,0.000857803322004068
PRJEB20161/ERR1901830,0.01718758844636874,0.024809955988080532,0.034079615254463846,0.039151752631286556,0.04833015065480972,0.05432694652372475,0.05565370365601823,0.0633615727775229,0.0619562022051919,0.059972605843369005,0.06330305432910771,0.06280941598497249,0.06312974054017294,0.06358716571382979,0.06182264612377591,0.06081221707198636,0.06254598456705648,0.06786000445143944,0.03437451662100104,0.0009251606158214726
PRJEB20161/ERR1901834,0.013380223490717996,0.01947787245915139,0.026956910294021384,0.032583333209366676,0.04082589798953404,0.04672880639718311,0.05197774134992712,0.05619318124872639,0.05690240123282166,0.05716651226863091,0.06047558310219602,0.05925115921482093,0.061672780745984424,0.06844595821707661,0.06561817464922556,0.06706143095931982,0.07462315351233023,0.08377646353750927,0.05435115446364439,0.0025312616578120222
PRJEB20161/ERR1901833,0.018365539429559555,0.024470034432890073,0.03293475064219653,0.03742921345260353,0.04605113034275536,0.0512638727646312,0.05290276018389969,0.06147687863516498,0.06198998812439293,0.05912826203154985,0.06048127056095235,0.0604573779037796,0.06173510930738796,0.06465534740802209,0.0624156955511825,0.06278485208540678,0.06566057394373159,0.07241145783303782,0.041973456354181926,0.0014124290126737056
PRJEB20161/ERR1901836,0.015777754536395842,0.02273421844389736,0.03256006593052864,0.03696672546888353,0.04605293775097506,0.05175733516734746,0.05599529135297577,0.0617408192375349,0.061453867224391785,0.060611325433420335,0.06204612150217838,0.06299304823555142,0.06269851293372473,0.06390258940295632,0.060672708454210925,0.060714934709018585,0.06518681140498835,0.07468629176488607,0.04042979172136603,0.0010188493247687098
PRJEB20161/ERR1901842,0.01703512189017155,0.018957264562244742,0.026945359808913005,0.027910578082086766,0.037254786543992696,0.042298163588498375,0.04589679217657911,0.0529640366499034,0.047795311448715266,0.05303075775746417,0.06181130289373105,0.06283286040356592,0.06390803004439151,0.07626095365057706,0.06719712568485092,0.06680671485696149,0.07881701439525435,0.0883865551869315,0.05569651539692307,0.008194754978244113
PRJEB20161/ERR1901835,0.012543228788488335,0.017578034382976837,0.0254083009616731,0.02828474456426833,0.03751041660499742,0.04297868728229764,0.04820269395410462,0.05390960990367615,0.055467651474320076,0.056968468317424845,0.06116961125120811,0.05932885300231753,0.06430288842765584,0.07309067096128921,0.06740543872995299,0.06904564056798118,0.07721683525988218,0.08833130602495247,0.057727910637728454,0.0035290089028047616
PRJEB20161/ERR1901840,0.011571013404192976,0.016991724609065794,0.024327597097709347,0.029488089427505464,0.037423728048120206,0.04282497034215869,0.04836498550389485,0.0554586886068239,0.056046302946633084,0.05703396540347508,0.060279282607179976,0.05987838477148053,0.06385401633466978,0.07029140650638475,0.06529534612220317,0.06681646988141648,0.07348868964708012,0.09412351521629629,0.06466732234306455,0.0017745011806448
PRJEB20161/ERR1901845,0.01355853425280169,0.017939333338832828,0.023735966954489575,0.02954947397528706,0.03842984432253079,0.044347812566709124,0.05013130495174803,0.0563762400355515,0.05480001220212415,0.05719106319314946,0.06144123844918772,0.06105272240836491,0.06270457807092276,0.07049675575828135,0.06673031824924582,0.06860871950499318,0.07687290335323652,0.0864133116204579,0.055969169462435485,0.003650697329650264
PRJEB20161/ERR1901847,0.01870143778022826,0.02009404450134976,0.023374383461337512,0.02733212316265141,0.03466425067207273,0.039172495644392555,0.04289335853099268,0.047216614606310776,0.045790184023456804,0.051006830531461364,0.054886640615994374,0.05779028926445977,0.06176220269603236,0.07956284587851137,0.06895385770524479,0.0722125451157195,0.085363191885021,0.09259684456327819,0.06787413831542588,0.00875172104605891
PRJEB20161/ERR1901838,0.013091568240199296,0.019512756124604434,0.027479572145958885,0.03294975698273589,0.03984416183554884,0.04761168975335617,0.053098155448730665,0.05866019004824122,0.05997839882903474,0.05864456026945002,0.06237491910719518,0.061447641966968634,0.06374127059340196,0.06560291327415871,0.0663846247864344,0.06967285261041835,0.07427220066543429,0.08017350527019804,0.044440991832622116,0.001018270215308102
PRJEB20161/ERR1901844,0.015149896742585623,0.02086673228911178,0.02918508443732818,0.03311681720100678,0.040660195129976366,0.04650299404176874,0.048989587897633684,0.05426959477708737,0.055071370671681746,0.05541863130766173,0.05987666501565236,0.05981066661653096,0.06155916786825846,0.06772182997231442,0.0638400848057317,0.06562473593868302,0.07299131776070955,0.08587731335811465,0.06042315429455425,0.003044159873608787
PRJEB20161/ERR1901849,0.017559511204214607,0.018074084564428182,0.022030731209706653,0.021789880439465316,0.02668860090193096,0.03289409592712819,0.037203895079537114,0.0398344747333051,0.041795493764965455,0.04820444367306531,0.05113027191914195,0.056046437987824285,0.0610307526076737,0.06894084629590698,0.07105895219691026,0.08142254905653294,0.08976735412076205,0.11470136049359478,0.0930514261384536,0.006774837685452527
PRJEB20161/ERR1901832,0.01721047838219918,0.02370260739379388,0.03278862530411978,0.03665036622364155,0.045324891067970434,0.0495804487580938,0.053630929964843914,0.06297947346620639,0.061878977758530254,0.05969605412143077,0.06068246974198282,0.05987163305495534,0.062352677411780626,0.06317426787997557,0.06268333120003902,0.062236751083725235,0.06654406558889042,0.07647235504164966,0.0413492969576359,0.0011902995985357372
PRJEB20161/ERR1901853,0.046914637032894176,0.04846903379575799,0.04900608427264582,0.047774562824404454,0.048304430293797856,0.04952006989252116,0.050988482678723065,0.050117441655022396,0.051743218926775365,0.05185915141055631,0.05071580135662704,0.04872297237113561,0.051988915869583076,0.052547324488079826,0.052878825052779535,0.05325944788717427,0.052589610160015926,0.053179467818649,0.0456748856385997,0.04374563657425764
PRJEB20161/ERR1901843,0.015912720413955132,0.02201967746851498,0.030277830616569575,0.03409331012818805,0.04219374426454005,0.04809381786131505,0.05205293045091457,0.05695179472118742,0.0573508960614133,0.05594542627470515,0.05856006648004057,0.0572138256957442,0.0599144897216651,0.06406125130733259,0.06202951895616761,0.066724711301773,0.07247621913171097,0.08493219336693979,0.0569255655992065,0.0022700101781165526
PRJEB20161/ERR1901854,0.02180415672236791,0.024737231405644197,0.028444671909044136,0.03098972999236592,0.029486615517170325,0.03197143612181683,0.03514473772533716,0.040875511757614544,0.04527848549492927,0.04819954337795372,0.052119563453061506,0.051627686438669315,0.07370916215697186,0.06871354685215178,0.06575460785645,0.07744405737542012,0.0829427741583839,0.10020166637472365,0.0763693340968012,0.014185481213122518
PRJEB20161/ERR1901841,0.012681305040254566,0.019028709148496286,0.027357244693249225,0.032015798325080884,0.04086818907490762,0.04634546487330535,0.051998892881407535,0.05679754259002483,0.05779813916391801,0.05696874589984404,0.06041588133699961,0.05925433448744402,0.06298144627201589,0.06658093517367591,0.06437143532204768,0.06863931199055684,0.07437375838254136,0.08514550841489116,0.0549306789192127,0.0014466780101263866
PRJEB20161/ERR1901839,0.014568724026932474,0.02111313332919134,0.02898002246675711,0.03343581374416217,0.042819844867633586,0.04746631816497403,0.05202752541781334,0.05624175371179205,0.0562923153443037,0.05735764139070045,0.05966674882832054,0.05850402932217955,0.061286359298443116,0.06680462458183058,0.06402919603481148,0.06592357997228743,0.07268073075389442,0.08261574615270777,0.056313836078074,0.001872056513190865
