ENSMUSG00000000948.16 Gm38393
ENSMUSG00000000957.10 Mmp14
ENSMUSG00000000958.9 Slc7a7
ENSMUSG00000000959.6 Oxa1l
ENSMUSG00000000976.13 Heatr6
ENSMUSG00000000982.5 Ccl3
ENSMUSG00000000983.13 Wfdc18
ENSMUSG00000001014.6 Icam4
ENSMUSG00000001016.12 Ilf2
ENSMUSG00000001017.15 Chtop
ENSMUSG00000001018.15 Snapin
ENSMUSG00000001020.8 S100a4
ENSMUSG00000001021.12 S100a3
ENSMUSG00000001023.10 S100a5
ENSMUSG00000001025.8 S100a6
ENSMUSG00000001027.7 Scn4a
ENSMUSG00000001029.15 Icam2
ENSMUSG00000001034.17 Mapk7
ENSMUSG00000001036.17 Epn2
ENSMUSG00000001039.12 B9d1
ENSMUSG00000001052.15 Sec24b
ENSMUSG00000001053.15 N4bp3
ENSMUSG00000001054.9 Rmnd5b
ENSMUSG00000001056.3 Nhp2
ENSMUSG00000001062.18 Vps9d1
ENSMUSG00000001065.15 Zfp276
ENSMUSG00000001076.6 C1ql4
ENSMUSG00000001082.12 Mfsd10
ENSMUSG00000001089.14 Luzp1
ENSMUSG00000001095.5 Slc13a2
ENSMUSG00000001098.15 Kctd10
ENSMUSG00000001100.10 Poldip2
ENSMUSG00000001103.7 Sebox
ENSMUSG00000001105.15 Ift20
ENSMUSG00000001119.7 Col6a1
ENSMUSG00000001120.15 Pcbp3
ENSMUSG00000001123.15 Lgals9
ENSMUSG00000001127.12 Araf
ENSMUSG00000001128.7 Cfp
ENSMUSG00000001131.11 Timp1
ENSMUSG00000001134.9 Uxt
ENSMUSG00000001138.13 Cnnm3
ENSMUSG00000001143.13 Lman2l
ENSMUSG00000001150.7 Mcm3ap
ENSMUSG00000001151.10 Pcnt
ENSMUSG00000001155.13 Ftcd
ENSMUSG00000001156.9 Mxd1
ENSMUSG00000001157.13 Gmcl1
ENSMUSG00000001158.13 Snrnp27
ENSMUSG00000001166.17 Oas1c
ENSMUSG00000001168.16 Oas1h
ENSMUSG00000001173.15 Ocrl
ENSMUSG00000001175.14 Calm1
ENSMUSG00000001211.15 Agpat3
ENSMUSG00000001225.12 Slc26a3
ENSMUSG00000001227.11 Sema6b
ENSMUSG00000001228.14 Uhrf1
ENSMUSG00000001229.8 Dpp9
ENSMUSG00000001240.13 Ramp2
ENSMUSG00000001247.16 Lsr
ENSMUSG00000001248.15 Gramd1a
ENSMUSG00000001249.14 Hpn
ENSMUSG00000001260.10 Gabrg1
ENSMUSG00000001270.9 Ckb
ENSMUSG00000001280.12 Sp1
ENSMUSG00000001281.9 Itgb7
ENSMUSG00000001285.12 Myg1
ENSMUSG00000001288.14 Rarg
ENSMUSG00000001289.12 Pfdn5
ENSMUSG00000001300.16 Efnb2
ENSMUSG00000001305.5 Rrp15
ENSMUSG00000001313.12 Rnd2
ENSMUSG00000001323.17 Srr
ENSMUSG00000001333.9 Sync
ENSMUSG00000001334.9 Fndc5
ENSMUSG00000001348.15 Acp5
ENSMUSG00000001349.5 Cnn1
ENSMUSG00000001366.14 Fbxo9
ENSMUSG00000001376.17 Vps50
ENSMUSG00000001380.6 Hars
ENSMUSG00000001383.8 Zmat2
ENSMUSG00000001403.13 Ube2c
ENSMUSG00000001415.10 Smg5
ENSMUSG00000001416.13 Cct3
ENSMUSG00000001418.13 Glmp
ENSMUSG00000001419.17 Mef2d
ENSMUSG00000001420.13 Tmem79
ENSMUSG00000001424.14 Snd1
ENSMUSG00000001435.15 Col18a1
ENSMUSG00000001436.15 Slc19a1
ENSMUSG00000001440.5 Kpnb1
ENSMUSG00000001441.13 Npepps
ENSMUSG00000001444.2 Tbx21
ENSMUSG00000001445.10 Mrpl10
ENSMUSG00000001467.5 Cyp51
ENSMUSG00000001472.17 Tcf25
ENSMUSG00000001473.6 Tubb6
ENSMUSG00000001482.15 Def8
ENSMUSG00000001493.9 Meox1
ENSMUSG00000001494.6 Sost
ENSMUSG00000001496.15 Nkx2-1
ENSMUSG00000001497.18 Pax9
ENSMUSG00000001504.10 Irx2
ENSMUSG00000001506.10 Col1a1
ENSMUSG00000001507.16 Itga3
ENSMUSG00000001508.15 Sgca
ENSMUSG00000001510.8 Dlx3
ENSMUSG00000001517.14 Foxm1
ENSMUSG00000001518.12 Itfg2
ENSMUSG00000001520.12 Nrip2
ENSMUSG00000001521.12 Tulp3
