1	1
Case	887
CL100029124_L01_11	113
CL100029124_L01_12	285
CL100029124_L01_14	59
CL100029124_L01_15	181
CL100029124_L01_16	144
CL100029124_L01_19	87
CL100029124_L01_2	165
CL100029124_L01_21	213
CL100029124_L01_22	58
CL100029124_L01_26	133
CL100029124_L01_28	458
CL100029124_L01_3	73
CL100029124_L01_30	183
CL100029124_L01_31	270
CL100029124_L01_32	420
CL100029124_L01_34	222
CL100029124_L01_37	370
CL100029124_L01_38	39
CL100029124_L01_4	196
CL100029124_L01_40	80
CL100029124_L01_41	247
CL100029124_L01_42	219
CL100029124_L01_43	61
CL100029124_L01_44	144
CL100029124_L01_45	376
CL100029124_L01_46	155
CL100029124_L01_47	336
CL100029124_L01_48	170
CL100029124_L01_5	164
CL100029124_L02_17	152
CL100029124_L02_19	171
CL100029124_L02_21	27
CL100029124_L02_23	86
CL100029124_L02_24	100
CL100029124_L02_25	123
CL100029124_L02_26	256
CL100029124_L02_27	380
CL100029124_L02_28	199
CL100029124_L02_29	183
CL100029124_L02_30	96
CL100029124_L02_31	36
CL100029124_L02_32	339
CL100029124_L02_35	256
CL100029124_L02_36	166
CL100029124_L02_37	331
CL100029124_L02_38	290
CL100029124_L02_39	296
CL100029124_L02_40	211
CL100029124_L02_41	264
CL100029124_L02_42	226
CL100029124_L02_43	106
CL100029124_L02_45	8
CL100029124_L02_46	342
CL100029124_L02_48	229
CL100029124_L02_9	183
CL100029125_L01_1	78
CL100029125_L01_11	201
CL100029125_L01_12	444
CL100029125_L01_14	118
CL100029125_L01_15	269
CL100029125_L01_16	386
CL100029125_L01_19	185
CL100029125_L01_2	334
CL100029125_L01_20	73
CL100029125_L01_21	348
CL100029125_L01_22	186
CL100029125_L01_24	77
CL100029125_L01_26	217
CL100029125_L01_28	573
CL100029125_L01_29	26
CL100029125_L01_3	115
CL100029125_L01_30	251
CL100029125_L01_31	366
CL100029125_L01_32	548
CL100029125_L01_34	403
CL100029125_L01_35	24
CL100029125_L01_36	25
CL100029125_L01_37	513
CL100029125_L01_38	51
CL100029125_L01_39	16
CL100029125_L01_4	377
CL100029125_L01_40	162
CL100029125_L01_41	391
CL100029125_L01_42	308
CL100029125_L01_43	203
CL100029125_L01_44	286
CL100029125_L01_45	501
CL100029125_L01_46	255
CL100029125_L01_47	482
CL100029125_L01_48	256
CL100029125_L01_5	316
CL100029125_L01_6	54
CL100029125_L01_8	101
CL100029125_L01_9	45
CL100029125_L02_14	43
CL100029125_L02_17	279
CL100029125_L02_19	306
CL100029125_L02_21	69
CL100029125_L02_23	184
CL100029125_L02_24	178
CL100029125_L02_25	182
CL100029125_L02_26	346
CL100029125_L02_27	478
CL100029125_L02_28	255
CL100029125_L02_29	229
CL100029125_L02_30	114
CL100029125_L02_31	46
CL100029125_L02_32	530
CL100029125_L02_35	375
CL100029125_L02_36	244
CL100029125_L02_37	454
CL100029125_L02_38	364
CL100029125_L02_39	393
CL100029125_L02_40	325
CL100029125_L02_41	301
CL100029125_L02_42	306
CL100029125_L02_43	202
CL100029125_L02_45	13
CL100029125_L02_46	438
CL100029125_L02_48	350
CL100029125_L02_6	103
CL100029125_L02_8	94
CL100029125_L02_9	303
CL100033231_L01_50	77
CL100033231_L01_51	32
CL100033231_L01_53	4
CL100033231_L01_54	14
CL100033231_L01_65	16
CL100033231_L01_67	26
CL100033231_L01_69	142
CL100033231_L01_70	39
CL100033231_L01_71	39
CL100033231_L01_73	1277
CL100033231_L01_74	219
CL100033231_L01_75	174
CL100033231_L01_76	324
CL100033231_L01_78	287
CL100033231_L01_80	247
CL100033231_L01_81	254
CL100033231_L01_82	212
CL100033231_L01_83	103
CL100033231_L01_84	278
CL100033231_L01_85	159
CL100033231_L01_86	261
CL100033231_L01_87	278
CL100033231_L01_88	208
CL100033231_L01_89	161
CL100033231_L01_90	168
CL100033231_L01_91	347
CL100033231_L01_92	277
CL100033231_L01_93	132
CL100033231_L01_94	132
CL100033231_L01_95	222
CL100033231_L01_96	114
CL100033231_L02_50	7
CL100033231_L02_51	15
CL100033231_L02_54	10
CL100033231_L02_55	2
CL100033231_L02_58	70
CL100033231_L02_60	2
CL100033231_L02_61	61
CL100033231_L02_62	46
CL100033231_L02_63	45
CL100033231_L02_64	5
CL100033231_L02_65	19
CL100033231_L02_66	28
CL100033231_L02_69	3
CL100033231_L02_70	25
CL100033231_L02_71	31
CL100033231_L02_73	329
CL100033231_L02_74	256
CL100033231_L02_75	142
CL100033231_L02_76	301
CL100033231_L02_77	198
CL100033231_L02_78	123
CL100033231_L02_79	236
CL100033231_L02_80	250
CL100033231_L02_81	227
CL100033231_L02_82	299
CL100033231_L02_83	282
CL100033231_L02_84	260
CL100033231_L02_85	158
CL100033231_L02_86	114
CL100033231_L02_87	224
CL100033231_L02_88	159
CL100033231_L02_89	174
CL100033231_L02_90	245
CL100033231_L02_91	363
CL100033231_L02_92	447
CL100033231_L02_93	359
CL100033231_L02_94	263
